cell_type,gene_id,gene_name,gene_description,,,,,,,,,,,
Metaxylem,AT4G12620,ORC1B,"The ORC1B (Origin Recognition Complex Subunit 1B) gene encodes a protein involved in the initiation of DNA replication in eukaryotic cells. It is a component of the origin recognition complex (ORC), which is essential for the establishment and maintenance of replication origins and the regulation of the cell cycle.",,,,,,,,,,,
Metaxylem,AT1G74150,AT1G74150,,,,,,,,,,,,
Metaxylem,AT5G08260,SCPL35,"The SCPL35 (Serine Carboxypeptidase-Like 35) gene encodes a protein belonging to the serine carboxypeptidase-like family, which is involved in the modification and degradation of proteins. The specific function of SCPL35 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Metaxylem,AT5G63140,PAP29,"The PAP29 (Purple Acid Phosphatase 29) gene encodes an enzyme belonging to the purple acid phosphatase family, which is involved in the hydrolysis of phosphomonoesters. PAP29 is implicated in the regulation of phosphate homeostasis, playing a role in phosphate acquisition and mobilization.",,,,,,,,,,,
Metaxylem,AT2G25060,ENODL14,"The ENODL14 (Early Nodulin-Like 14) gene encodes a protein with a conserved domain found in early nodulins, which are proteins involved in the early stages of legume-rhizobia symbiosis. However, the specific function of ENODL14 in Arabidopsis thaliana, which is a non-legume plant, is not well-characterized.",,,,,,,,,,,
Metaxylem,AT3G14730,PCMP-E31,"The article “Formation of the Arabidopsis Pentatricopeptide Repeat Family” mentions that he Pentatricopeptide Repeat (PPR) gene family, specifically the subset of genes that code for PPR proteins with C-terminal motifs (PCMPs). These proteins are involved in RNA processing and editing in the chloroplasts and mitochondria of plants. The PCMP family has a complex and highly structured arrangement of motifs that suggest precise relationships between motif organization and protein substrate specificity.",,,,,,,,,,,
Metaxylem,AT3G22790,NET1A,"The NET1A (Networked 1A) gene encodes a protein involved in the regulation of cell morphogenesis, such as cell expansion and cell wall synthesis, by affecting actin cytoskeleton organization.",,,,,,,,,,,
Metaxylem,AT1G29940,NRPA2,"The NRPA2 (Nuclear RNA Polymerase A 2) gene encodes a subunit of nuclear RNA polymerase, which is involved in the transcription of nuclear-encoded genes. It plays a role in gene expression and the regulation of various cellular processes.",,,,,,,,,,,
Metaxylem,AT5G06210,AT5G06210,,,,,,,,,,,,
Metaxylem,AT3G61100,AT3G61100,,,,,,,,,,,,
Metaxylem,AT2G13540,ABH1,"The ABH1 (Adenosine and Adenine Nucleotide Hydrolase 1) gene encodes a protein involved in the hydrolysis of adenosine and adenine nucleotides, regulating the levels of these molecules in the cell. ABH1 is implicated in various aspects of plant growth and development, as well as stress responses.",,,,,,,,,,,
Metaxylem,AT3G53190,AT3G53190,,,,,,,,,,,,
Metaxylem,AT5G37010,AT5G37010,,,,,,,,,,,,
Metaxylem,AT5G25475,AT5G25475,,,,,,,,,,,,
Metaxylem,AT3G54090,FLN1,"The FLN1 (Fructokinase-Like 1) gene encodes a protein that is homologous to fructokinases, which are involved in sugar metabolism. However, the specific function of FLN1 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Metaxylem,AT3G20430,AT3G20430,,,,,,,,,,,,
Metaxylem,AT3G25710,TMO5,"The TMO5 (Target of Monopteros 5) gene encodes a transcription factor that is involved in the regulation of vascular tissue development, specifically in the formation of procambial cells and the patterning of vascular bundles.",,,,,,,,,,,
PCC,AT5G17260,NAC086,"NAC45 and NAC86: These are redundant NAC domain-containing transcription factors that play a crucial role in sieve element differentiation. They orchestrate cellular reorganizations, including enucleation, organelle rearrangement, and cytosol degradation. NAC45/86 target a family of genes encoding proteins with nuclease domains, which are required for enucleation",,,,,,,,,,,
PCC,AT3G03200,NAC45,"NAC45 and NAC86: These are redundant NAC domain-containing transcription factors that play a crucial role in sieve element differentiation. They orchestrate cellular reorganizations, including enucleation, organelle rearrangement, and cytosol degradation. NAC45/86 target a family of genes encoding proteins with nuclease domains, which are required for enucleation",,,,,,,,,,,
PCC,AT3G01680,ATSEOR1,"The ATSEOR1 (Arabidopsis thaliana Selenocysteine Methyltransferase 1) gene encodes an enzyme involved in the methylation of selenocysteine, an amino acid that is a key component of certain selenoproteins. ATSEOR1 is implicated in the regulation of selenocysteine metabolism and various aspects of plant growth and development.",,,,,,,,,,,
PCC,AT2G37590,DOF2.4,"DOF2.4: This gene encodes a PEAR protein involved in the formation of a short-range concentration gradient that peaks at protophloem sieve elements. It activates gene expression promoting radial growth and locally promotes transcription of inhibitory HD-ZIP III genes, establishing a negative-feedback loop that forms a robust boundary demarking the zone of cell division",,,,,,,,,,,
PCC,AT3G22400,LOX5,"The LOX5 (Lipoxygenase 5) gene encodes an enzyme involved in the synthesis of oxylipins, which are signaling molecules derived from the oxidation of fatty acids. LOX5 is implicated in the regulation of various aspects of plant growth, development, and stress responses, particularly in response to biotic and abiotic stresses",,,,,,,,,,,
Pericycle,AT1G74430,MYB95,"The MYB95 gene encodes a MYB transcription factor involved in various aspects of plant development and responses to environmental stimuli, although its specific function in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Pericycle,AT3G24310,MYB305,"The MYB305 gene encodes a MYB transcription factor that is involved in the regulation of various cellular processes, such as gene expression, cell differentiation, and stress responses.",,,,,,,,,,,
Pericycle,AT4G28250,EXPB3,"The EXPB3 (Expansin B3) gene encodes a protein involved in cell wall loosening and expansion, playing a role in plant growth, development, and cell elongation.",,,,,,,,,,,
Pericycle,AT5G25920,AT5G25920,,,,,,,,,,,,
Pericycle,AT4G29770,AT4G29770,,,,,,,,,,,,
Pericycle,AT1G58025,AT1G58025,,,,,,,,,,,,
Pericycle,AT4G34650,SQS2,"The SQS2 (Squalene Synthase 2) gene encodes an enzyme involved in the biosynthesis of sterols, which are essential components of plant cell membranes and precursors to various hormones and signaling molecules.",,,,,,,,,,,
Pericycle,AT5G06080,LBD33,"Lateral root primordia are the early developmental stages of lateral roots, which are formed from the primary root and contribute to the overall root system architecture. The initiation and development of lateral root primordia involve a complex interplay of genetic and hormonal factors that coordinate cell division, elongation, and differentiation. Although the specific role of LBD33 in lateral root primordia development is not fully understood, it has been suggested that LBD33 may be involved in the regulation of lateral root formation. This may be achieved through the modulation of auxin signaling, a key hormone in plant development, or through direct regulation of target genes involved in lateral root development",,,,,,,,,,,
Pericycle,AT1G52400,BGLU18,"BGLU18: The BGLU18 (Beta-Glucosidase 18) gene encodes an enzyme involved in the hydrolysis of glycosidic bonds, participating in the degradation of cell wall components and the release of various plant hormones and secondary metabolites.",,,,,,,,,,,
Pericycle,AT2G19900,NADP-ME1,"The NADP-ME1 (NADP-dependent Malic Enzyme 1) gene encodes an enzyme involved in the decarboxylation of malate to pyruvate and CO2, playing a role in various metabolic processes, such as the tricarboxylic acid (TCA) cycle, carbon fixation, and the production of reducing equivalents (NADPH) for biosynthetic pathways and stress responses.",,,,,,,,,,,
Pericycle,AT5G24240,PI4KG3,"The PI4KG3 (Phosphatidylinositol 4-Kinase Gamma 3) gene encodes an enzyme involved in the synthesis of phosphatidylinositol 4-phosphate (PI4P), which is essential for membrane trafficking, lipid signaling, and the regulation of various cellular processes, such as cell growth and development.",,,,,,,,,,,
Pericycle,AT3G06020,FAF4,"The FAF4 (Fas-Activated Serine-Threonine Kinase 4) gene encodes a protein kinase involved in the regulation of various cellular processes, including signal transduction, cell proliferation, and stress responses.",,,,,,,,,,,
Pericycle,AT3G29635,AT3G29635,,,,,,,,,,,,
Pericycle,AT4G17760,AT4G17760,,,,,,,,,,,,
Pericycle,AT4G28250,EXPB3,"The EXPB3 (Expansin B3) gene encodes a protein involved in cell wall loosening and expansion, playing a role in plant growth, development, and cell elongation.",,,,,,,,,,,
Pericycle,AT3G47320,AT3G47320,,,,,,,,,,,,
Pericycle,AT1G32450,NPF7.3,The NPF7.3 (Nitrate Transporter 1/Peptide Transporter Family 7.3) gene encodes a nitrate transporter involved in nitrate uptake and distribution within the plant. Nitrate is an essential nutrient for plant growth and development.,,,,,,,,,,,
Pericycle,AT5G01740,AT5G01740,,,,,,,,,,,,
Pericycle,AT5G65420,CYCD4;1,"The CYCD4;1 (Cyclin D4;1) gene encodes a cyclin protein that is involved in the regulation of the cell cycle, specifically the transition from G1 to S phase, playing a crucial role in plant growth and development.",,,,,,,,,,,
Pericycle,AT3G23430,PHO1,"The PHO1 gene, first described in Arabidopsis thaliana, is involved in the export of phosphate (Pi) into the root xylem vessel The pho1 mutant of Arabidopsis has low shoot Pi and high root Pi due to its deficiency in phosphate loading to the xylem. PHO1 is associated with the Golgi and trans-Golgi networks, indicating a role for these organelles in Pi transport. Additionally, PHO1 expression in guard cells is involved in the stomatal response to abscisic acid (ABA) in Arabidopsis. The Arabidopsis PHO1 gene family comprises 11 members, including PHO1;H1, which is expressed in the vascular tissue of root and shoot and is regulated by the plant Pi status. The role of PHO1;H1 in the aerial part of the plant is currently unknown.While the specific role of PHO1 in Arabidopsis thaliana is not fully understood, its involvement in phosphate transport and stomatal response suggests it may play a role in nutrient homeostasis and plant stress responses.",,,,,,,,,,,
Pericycle,AT5G26930,GATA23,"The GATA23 (GATA Transcription Factor 23) gene encodes a transcription factor belonging to the GATA family, which is characterized by their conserved zinc finger DNA-binding domains. GATA23 is involved in the regulation of various cellular processes such as gene expression, cell differentiation, and stress responses.",,,,,,,,,,,
Pericycle,AT1G11330,RDA2,"The RDA2 (Reduced Dormancy 2) gene encodes a protein involved in the regulation of seed dormancy and germination. Its specific function is not well-characterized, but it is likely to play a role in the response to plant hormones, such as abscisic acid (ABA) and gibberellins, which control seed dormancy and germination.",,,,,,,,,,,
Pericycle phloem pole,AT5G01750,AT5G01750,,,,,,,,,,,,
Pericycle phloem pole,AT2G22850,AT2G22850,,,,,,,,,,,,
Pericycle phloem pole,AT1G18570,MYB51,"The MYB51 (Myeloblastosis 51) gene encodes a transcription factor belonging to the R2R3-MYB family, which is involved in the regulation of various aspects of plant growth and development. In Arabidopsis thaliana, MYB51 is particularly implicated in the biosynthesis of glucosinolates, a group of secondary metabolites involved in plant defense against herbivores and pathogens.",,,,,,,,,,,
Pericycle phloem pole,AT1G35910,TPPD,"The TPPD (Trehalose-6-Phosphate Phosphatase D) gene encodes an enzyme involved in the synthesis of trehalose, a disaccharide sugar that plays a role in various aspects of plant growth, development, and stress responses. TPPD is implicated in the regulation of trehalose metabolism and the modulation of osmotic stress responses in plants.",,,,,,,,,,,
Pericycle phloem pole,AT4G23410,TET5,"TET5: The TET5 (Tetraspanin 5) gene encodes a protein belonging to the tetraspanin family, which is involved in the regulation of various aspects of cell membrane organization and function. The specific function of TET5 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Pericycle phloem pole,AT1G18570,MYB51,"The MYB51 gene encodes a transcription factor belonging to the MYB family, which is involved in the regulation of various aspects of plant growth, development, and stress responses. In Arabidopsis thaliana, MYB51 plays a role in the biosynthesis of indole glucosinolates, which are secondary metabolites involved in plant defense against herbivores and pathogens.",,,,,,,,,,,
Pericycle phloem pole,AT1G35910,TPPD,"The TPPD (Trehalose-6-Phosphate Phosphatase D) gene encodes an enzyme involved in the biosynthesis of trehalose, a disaccharide sugar that plays a role in various aspects of plant growth, development, and stress responses. In Arabidopsis thaliana, TPPD is implicated in the regulation of trehalose metabolism, which is important for processes such as sugar signaling and the response to abiotic stresses.",,,,,,,,,,,
Pericycle phloem pole,AT4G23410,TET5,"The TET5 (Trihelix Transcription Factor 5) gene encodes a trihelix transcription factor involved in the regulation of various aspects of plant growth and development, particularly in the control of gene expression in response to environmental and developmental cues. In Arabidopsis thaliana, the specific function of TET5 is not well characterized, but other members of the trihelix transcription factor family are involved in processes such as seed development, flowering, and stress responses.",,,,,,,,,,,
Pericycle phloem pole,AT2G23560,AT2G23560,,,,,,,,,,,,
Pericycle phloem pole,AT3G27030,AT3G27030,,,,,,,,,,,,
Pericycle xylem pole,AT2G18800,XTH21,"The XTH21 (Xyloglucan Endotransglucosylase/Hydrolase 21) gene encodes an enzyme involved in the modification of xyloglucan, a key component of plant cell walls. XTH21 is implicated in the regulation of cell wall biosynthesis and modification, playing a role in various aspects of plant growth and development",,,,,,,,,,,
Pericycle xylem pole,AT5G52470,FIB1,"The FIB1 (Fibrillin 1) gene encodes a protein involved in the formation of plastoglobules, which are lipid-rich structures found within plastids. FIB1 is implicated in the regulation of plastid development and the accumulation of carotenoids and other lipophilic molecules within plastids.",,,,,,,,,,,
Pericycle xylem pole,AT4G18250,AT4G18250,,,,,,,,,,,,
Pericycle xylem pole,AT5G01740,AT5G01740,,,,,,,,,,,,
Pericycle xylem pole,AT5G26930,GATA23,"In Arabidopsis thaliana, the GATA23 gene (AT5G26930) is involved in controlling lateral root founder cell specification. It is regulated by an IAA28-dependent auxin signaling module in the basal meristem region.",,,,,,,,,,,
Pericycle xylem pole,AT2G18800,XTH21,"The XTH21 (Xyloglucan Endotransglucosylase/Hydrolase 21) gene encodes an enzyme involved in the modification of cell wall components, particularly xyloglucan, which is important for cell wall expansion and remodeling. In Arabidopsis thaliana, XTH21 plays a role in various aspects of plant growth and development, such as root and shoot growth.",,,,,,,,,,,
Pericycle xylem pole,AT5G52470,FIB1,"The FIB1 (Fibrillin 1) gene encodes a plastid-targeted protein involved in the formation and maintenance of plastoglobules, which are specialized structures within plastids associated with lipid metabolism and storage. In Arabidopsis thaliana, FIB1 plays a role in the proper function and development of plastids, particularly during the process of photosynthesis.",,,,,,,,,,,
Pericycle xylem pole,AT3G47510,AT3G47510,,,,,,,,,,,,F
Pericycle xylem pole,AT3G53450,LOG4,"The LOG4 (Lonely Guy 4) gene encodes an enzyme involved in the activation of cytokinins, which are plant hormones that play a crucial role in various aspects of plant growth and development. In Arabidopsis thaliana, LOG4 is implicated in the regulation of cytokinin-dependent processes, such as cell division, differentiation, and organogenesis.",,,,,,,,,,,
Pericycle xylem pole,AT1G02460,AT1G02460,,,,,,,,,,,,
Pericycle xylem pole,AT4G30450,AT4G30450,,,,,,,,,,,,
Pericycle xylem pole,AT4G18250,AT4G18250,,,,,,,,,,,,
Phloem,AT1G11570,NTL,"The NTL gene in Arabidopsis Thaliana refers to a group of membrane-associated NAC transcription factors, which regulate various aspects of plant growth, development, and response to environmental stresses NTL8, in particular, has been identified as a novel regulator of trichome formation in Arabidopsis It functions as a transcription activator and negatively regulates trichome formation. Additionally, NTL8 has been found to regulate salt-responsive flowering via FLOWERING LOCUS T in Arabidopsis. The NTL family of genes in Arabidopsis is classified into four phylogenetic subgroups, and each NTL gene exhibits a distinct expression pattern.",,,,,,,,,,,
Phloem,AT1G69580,AT1G69580,,,,,,,,,,,,
Phloem,AT1G69970,CLE26,"The CLE26 (CLAVATA3/ESR-Related 26) gene encodes a small signaling peptide involved in cell-to-cell communication. CLE26 is implicated in the regulation of various aspects of plant growth and development, such as root growth, vascular tissue differentiation, and the maintenance of the root apical meristem.",,,,,,,,,,,
Phloem,AT2G41200,AT2G41200,,,,,,,,,,,,
Phloem,AT3G47180,AT3G47180,,,,,,,,,,,,
Phloem,AT4G04620,ATG8B,"The ATG8B (Autophagy-Related Protein 8B) gene encodes a protein involved in the autophagy pathway, which is a process of degradation and recycling of cellular components. ATG8B is implicated in the regulation of various aspects of plant growth, development, and stress responses, as it plays a role in maintaining cellular homeostasis.",,,,,,,,,,,
Phloem,AT4G16400,AT4G16400,,,,,,,,,,,,
Phloem,AT5G01480,AT5G01480,,,,,,,,,,,,
Phloem,AT5G04680,AT5G04680,,,,,,,,,,,,
Phloem,AT5G16610,AT5G16610,,,,,,,,,,,,
Phloem,AT5G53030,AT5G53030,,,,,,,,,,,,
Phloem,AT1G02950,GSTF4,"The GSTF4 (Glutathione S-Transferase F4) gene encodes an enzyme involved in the detoxification of reactive oxygen species and xenobiotics, as well as in the regulation of redox homeostasis. GSTF4 plays a role in various aspects of plant growth, development, and stress responses, particularly in response to biotic and abiotic stresses.",,,,,,,,,,,
Phloem,AT1G05610,APS2,"The APS2 (Adenylyl-Sulfate Kinase 2) gene encodes an enzyme involved in the sulfate assimilation pathway, which is responsible for the conversion of inorganic sulfate into organic forms that can be incorporated into various biomolecules. APS2 plays a role in the regulation of sulfate metabolism and various aspects of plant growth and development.",,,,,,,,,,,
Phloem,AT1G05770,JAL2,"The JAL2 (Jasmonate-Induced AP2-Like 2) gene encodes a transcription factor that is involved in the regulation of gene expression in response to jasmonate, a hormone that regulates various aspects of plant growth, development, and stress responses. JAL2 is implicated in the modulation of jasmonate-responsive genes and the regulation of plant defense responses.",,,,,,,,,,,
Phloem,AT1G10360,GSTU18,"The GSTU18 (Glutathione S-Transferase Tau 18) gene encodes an enzyme involved in the detoxification of reactive oxygen species and xenobiotics, as well as in the regulation of redox homeostasis. GSTU18 plays a role in various aspects of plant growth, development, and stress responses, particularly in response to biotic and abiotic stresses.",,,,,,,,,,,
Phloem,AT1G13920,AT1G13920,,,,,,,,,,,,
Phloem,AT5G20030,AT5G20030,,,,,,,,,,,,
Phloem,AT3G58350,RTM3,"The RTM3 (Restricted Tobacco Etch Virus Movement 3) gene encodes a protein that is involved in restricting the movement of certain plant viruses, such as the tobacco etch virus. RTM3 plays a role in the regulation of plant defense responses against viral infections.",,,,,,,,,,,
Phloem,AT1G79430,APL,"The APL (Altered Phloem Development) gene encodes a MYB family transcription factor involved in the regulation of phloem development and differentiation. APL is implicated in the regulation of various aspects of plant growth and development, particularly in the formation of vascular tissues.",,,,,,,,,,,
Phloem,AT5G62940,DOF5.6,"The DOF5.6 gene, also known as HCA2, is a Dof transcription factor gene found in Arabidopsis thaliana. It plays a crucial role in regulating interfascicular cambium formation and vascular tissue development DOF5.6/HCA2 is preferentially expressed in the vasculature of all organs, particularly in the cambium, phloem, and interfascicular parenchyma cells of inflorescence stems. Dof transcription factors are plant-specific and possess nearly identical Dof zinc finger domains required for binding to specific promoter sequences. There are 36 Dof gene family members in the Arabidopsis genome, and some may have redundant roles in regulating vascular tissue development.",,,,,,,,,,,
Phloem,AT3G43270,PME32,"The PME32 (Pectin Methylesterase 32) gene encodes an enzyme involved in the modification of pectin, a polysaccharide that is a key component of plant cell walls. PME32 is implicated in the regulation of cell wall biosynthesis and modification, playing a role in various aspects of plant growth and development.",,,,,,,,,,,
Phloem,AT1G26790,CDF 6,"The CDF 6 (Cycling Dof Factor 6) gene encodes a transcription factor belonging to the DOF (DNA-binding with One Finger) family, which is involved in the regulation of various aspects of plant growth and development, such as gene expression, cell differentiation, and stress responses. The specific function of CDF 6 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Phloem,AT1G29520,AT1G29520,,,,,,,,,,,,
Phloem,AT2G37590,DOF2.4,"DOF2.4: This gene encodes a PEAR protein involved in the formation of a short-range concentration gradient that peaks at protophloem sieve elements. It activates gene expression promoting radial growth and locally promotes transcription of inhibitory HD-ZIP III genes, establishing a negative-feedback loop that forms a robust boundary demarking the zone of cell division",,,,,,,,,,,
Phloem,AT1G07640,OBP2,"The OBP2 (Oleosin Biogenesis Protein 2) gene encodes a protein involved in the biogenesis of oleosins, which are structural proteins associated with oil bodies in plant cells. OBP2 is implicated in the regulation of lipid storage and seed development.",,,,,,,,,,,
Procambium,AT5G57130,SMXL5,"SMXL5: The SMXL5 (Suppressor of Max2 1-Like 5) gene encodes a protein involved in strigolactone signaling, which is a hormone that regulates various aspects of plant growth and development, such as shoot branching, root architecture, and the response to environmental cues.",,,,,,,,,,,
Procambium,AT4G32880,ATHB-8,"ATHB-8: The ATHB-8 (Arabidopsis Thaliana Homeobox 8) gene encodes a transcription factor belonging to the HD-ZIP family, which is involved in the regulation of vascular tissue development, specifically xylem differentiation and the formation of vascular bundles.",,,,,,,,,,,
Procambium,AT3G09070,OPS,"The OPS (One-Two-Three Pore Segment) gene encodes a protein involved in the regulation of stomatal development, playing a role in the specification of stomatal lineage cells and the establishment of stomatal patterning.",,,,,,,,,,,
Procambium,AT5G43810,AGO10,"The AGO10 (Argonaute 10) gene encodes a protein that is a member of the Argonaute family, which is involved in small RNA-mediated gene silencing processes, such as RNA interference (RNAi) and microRNA (miRNA) pathways. AGO10 plays a role in the regulation of shoot apical meristem maintenance and the balance between stem cell proliferation and differentiation.",,,,,,,,,,,
Protopholoem,AT1G14730,CYB561C,"The CYB561 gene is conserved in various organisms, including plants and cyanobacteria In plants, such as Arabidopsis, the CYB561A protein is responsible for ascorbate-dependent electron transport in vacuoles. This gene encodes a transmembrane ascorbate required for safely dispersing excessive reactive oxygen species. According to the article “Tonoplast cytochrome b561 is a transmembrane ascorbate-dependent monodehydroascorbate reductase: functional characterization of electron currents in plant vacuoles”",,,,,,,,,,,
Protopholoem,AT5G40260,SWEET8,"The SWEET8 (Sugars Will Eventually Be Exported Transporter 8) gene encodes a sugar transporter involved in the transport of sugars across the plasma membrane. SWEET8 is implicated in the regulation of sugar transport and homeostasis, playing a role in various aspects of plant growth and development, as well as in response to biotic and abiotic stresses.",,,,,,,,,,,
Protopholoem,AT5G57130,AT5G57130,,,,,,,,,,,,
Protopholoem,AT5G62940,DOF5.6,"The DOF5.6 (DNA-binding with One Finger 5.6) gene encodes a transcription factor belonging to the DOF family, which is involved in the regulation of various aspects of plant growth and development, such as gene expression, cell differentiation, and stress responses. The specific function of DOF5.6 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Protopholoem,AT1G15080,LPP2,"The LPP2 (Lipid Phosphate Phosphatase 2) gene encodes an enzyme involved in the dephosphorylation of lipid phosphates, playing a role in lipid metabolism and signaling. LPP2 is implicated in the regulation of various cellular processes, such as membrane trafficking, signal transduction, and stress responses.",,,,,,,,,,,
Protopholoem,AT3G01680,SEOB,"The SEOB (Seed Expressed Oleosin B) gene encodes an oleosin protein that is involved in the formation and stabilization of oil bodies, which are intracellular structures storing lipids in the form of triacylglycerols. SEOB is specifically expressed in seeds, playing a role in lipid storage and seed development.",,,,,,,,,,,
Protopholoem,AT4G13600,AT4G13600,,,,,,,,,,,,
Protopholoem,AT5G67460,AT5G67460,,,,,,,,,,,,
Protopholoem,AT5G22870,AT5G22870,,,,,,,,,,,,
Protopholoem,AT1G54330,ANAC020,"The ANAC020 (Arabidopsis NAC Domain-Containing Protein 20) gene encodes a transcription factor belonging to the NAC family, which is involved in the regulation of various aspects of plant growth and development. ANAC020 is specifically implicated in the regulation of leaf senescence and stress responses.",,,,,,,,,,,
Protopholoem,AT1G60030,NAT7,"The NAT7 (N-Acetyltransferase 7) gene encodes an enzyme involved in the acetylation of proteins, which is a post-translational modification that can regulate protein function, stability, and localization. NAT7 is implicated in various aspects of plant growth and development, as well as in stress responses.",,,,,,,,,,,
Protopholoem,AT3G17730,ANAC057,"The ANAC057 (Arabidopsis NAC Domain-Containing Protein 57) gene encodes a transcription factor belonging to the NAC family, which is involved in the regulation of various aspects of plant growth and development. The specific function of ANAC057 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Protopholoem,AT4G17910,AT4G17910,,,,,,,,,,,,
Protopholoem,AT4G36620,GATA19,"The GATA19 gene in Arabidopsis thaliana (AT4G36620) encodes a member of the GATA factor family of zinc finger transcription factors. Genetic analysis of the Arabidopsis GATA transcription factor gene family reveals a nitrate-inducible member important for chlorophyll synthesis GATA transcription factors are involved in the regulation of diverse growth processes and environmental responses in Arabidopsis and other plants. Although specific information about GATA19's function in Arabidopsis is limited, it is likely that it plays a role in growth regulation and environmental response, similar to other GATA transcription factors in the plant.",,,,,,,,,,,
Protopholoem,AT4G03270,CYCD6-1,"The CYCD6-1 (Cyclin D6-1) gene encodes a protein belonging to the cyclin family, which is involved in the regulation of the cell cycle, particularly the G1 to S phase transition. CYCD6-1 is implicated in the regulation of cell division and various aspects of plant growth and development.",,,,,,,,,,,
Protopholoem,AT1G06490,CALS7,"he CALS7 (Callose Synthase 7) gene encodes an enzyme involved in the synthesis of callose, a polysaccharide that is a key component of plant cell walls. CALS7 is implicated in the regulation of cell wall biosynthesis, playing a role in various aspects of plant growth and development, as well as in response to biotic and abiotic stresses.",,,,,,,,,,,
Protopholoem,AT1G11915,AT1G11915,,,,,,,,,,,,
Protopholoem,AT1G13050,AT1G13050,,,,,,,,,,,,
Protopholoem,AT1G31335,AT1G31335,,,,,,,,,,,,
Protopholoem,AT1G33480,ATL58,"The ATL58 (Arabidopsis Tóxicos en Levadura 58) gene encodes a RING-type E3 ubiquitin ligase involved in protein ubiquitination, which is a post-translational modification that regulates protein stability, function, and localization. ATL58 is implicated in various aspects of plant growth and development, as well as in stress responses.",,,,,,,,,,,
Protopholoem,AT5G01370,ACI1,"The ACI1 (Acireductone Dioxygenase 1) gene encodes an enzyme involved in the methionine salvage pathway, which is responsible for the recycling of methionine from various metabolic intermediates. ACI1 plays a role in the regulation of methionine homeostasis and various aspects of plant growth and development.",,,,,,,,,,,
Protoxylem,AT5G47635,AT5G47635,,,,,,,,,,,,
Protoxylem,AT1G80100,AHP6,"The AHP6 (Arabidopsis Histidine Phosphotransfer Protein 6) gene encodes a protein involved in cytokinin signaling, which is a hormone that regulates various aspects of plant growth and development, such as cell division, differentiation, and organogenesis. AHP6 acts as a negative regulator of cytokinin signaling, inhibiting the formation of vascular tissues.",,,,,,,,,,,
Protoxylem,AT1G71930,VND7,"The VND7 (Vascular-Related NAC-Domain 7) gene encodes a transcription factor belonging to the NAC family, which is involved in the regulation of various aspects of plant growth and development. VND7 is specifically implicated in the regulation of xylem vessel element differentiation and the formation of vascular tissues.",,,,,,,,,,,
Protoxylem,AT1G04540,AT1G04540,,,,,,,,,,,,
Protoxylem,AT1G04760,VAMP726,"The VAMP726 (Vesicle-Associated Membrane Protein 726) gene encodes a protein involved in vesicle trafficking, which is essential for various cellular processes such as membrane fusion, protein secretion, and endocytosis. VAMP726 plays a role in maintaining cellular homeostasis and responding to environmental cues.",,,,,,,,,,,
Protoxylem,AT1G06020,AT1G06020,,,,,,,,,,,,
Protoxylem,AT1G07120,AT1G07120,,,,,,,,,,,,
Protoxylem,AT1G09610,GXM1,"The GXM1 (Glucuronoxylan Methyltransferase 1) gene encodes an enzyme involved in the synthesis and modification of glucuronoxylan, a hemicellulose polysaccharide found in plant cell walls. GXM1 is involved in cell wall biosynthesis, playing a role in plant growth and development.",,,,,,,,,,,
Protoxylem,AT1G09890,AT1G09890,,,,,,,,,,,,
Protoxylem,AT1G10800,AT1G10800,,,,,,,,,,,,
Protoxylem,AT1G12450,AT1G12450,,,,,,,,,,,,
Protoxylem,AT1G14190,AT1G14190,,,,,,,,,,,,
Protoxylem,AT1G16520,AT1G16520,,,,,,,,,,,,
Protoxylem,AT1G17950,ATMYB52,"The ATMYB52 (Arabidopsis thaliana Myb Domain Protein 52) gene encodes a transcription factor belonging to the MYB family, which is involved in the regulation of various aspects of plant growth and development, such as gene expression, cell differentiation, and stress responses.",,,,,,,,,,,
Protoxylem,AT1G19230,RBOHE,"The RBOHE (Respiratory Burst Oxidase Homolog E) gene encodes an NADPH oxidase involved in the production of reactive oxygen species (ROS), which play crucial roles in various aspects of plant growth, development, and stress responses. RBOHE is implicated in the regulation of ROS production during root hair growth and tip growth.",,,,,,,,,,,
Protoxylem,AT1G20720,AT1G20720,,,,,,,,,,,,
Protoxylem,AT1G21780,AT1G21780,,,,,,,,,,,,
Protoxylem,AT1G26570,UGD1,"The UGD1 (UDP-glucose Dehydrogenase 1) gene encodes an enzyme involved in the synthesis of UDP-glucuronic acid, which is a precursor for the biosynthesis of various cell wall polysaccharides and glycoproteins. UGD1 plays a role in cell wall biosynthesis and plant growth and development.",,,,,,,,,,,
Protoxylem,AT1G27920,MAP65-8,"The MAP65-8 (Microtubule-Associated Protein 65-8) gene encodes a protein that interacts with microtubules and is involved in the regulation of microtubule organization, dynamics, and stability. MAP65-8 plays a role in various aspects of plant growth and development, such as cell division, expansion, and morphogenesis.",,,,,,,,,,,
Protoxylem,AT1G29200,AT1G29200,,,,,,,,,,,,
Protoxylem,AT1G48280,AT1G48280,,,,,,,,,,,,
